"File","Action","Service","ControllerHits","Classification"
"app\Filament\Admin\Resources\MarketingTasks\Pages\CreateMarketingTask.php","handleRecordCreation","MarketingTaskService::class","4","ALREADY SHARED WITH LEGACY/API"
"app\Filament\Admin\Resources\MarketingTasks\Pages\EditMarketingTask.php","deleteTask","MarketingTaskService::class","4","ALREADY SHARED WITH LEGACY/API"
"app\Filament\Admin\Resources\MarketingTasks\Pages\EditMarketingTask.php","handleRecordUpdate","MarketingTaskService::class","4","ALREADY SHARED WITH LEGACY/API"
"app\Filament\Admin\Resources\Roles\Pages\EditRole.php","handleRecordUpdate","RoleGovernanceService::class","0","THIN WRAPPER"
"app\Filament\Admin\Resources\SalaryDistributions\SalaryDistributionResource.php","approveSalary","AccountingSalaryService::class","3","ALREADY SHARED WITH LEGACY/API"
"app\Filament\Admin\Resources\SalaryDistributions\SalaryDistributionResource.php","markSalaryPaid","AccountingSalaryService::class","3","ALREADY SHARED WITH LEGACY/API"
"app\Filament\Admin\Resources\SalesAttendanceSchedules\SalesAttendanceScheduleResource.php","deleteSchedule","SalesAttendanceService::class","2","ALREADY SHARED WITH LEGACY/API"
"app\Filament\Admin\Resources\SalesReservations\SalesReservationResource.php","cancelReservation","SalesReservationService::class","5","ALREADY SHARED WITH LEGACY/API"
"app\Filament\Admin\Resources\SalesReservations\SalesReservationResource.php","confirmReservation","SalesReservationService::class","5","ALREADY SHARED WITH LEGACY/API"
"app\Filament\Admin\Resources\SalesTargets\SalesTargetResource.php","updateTargetStatus","SalesTargetService::class","3","ALREADY SHARED WITH LEGACY/API"
"app\Filament\Admin\Resources\TitleTransfers\TitleTransferResource.php","completeTransfer","TitleTransferService::class","3","ALREADY SHARED WITH LEGACY/API"
"app\Filament\Admin\Resources\TitleTransfers\TitleTransferResource.php","scheduleTransfer","TitleTransferService::class","3","ALREADY SHARED WITH LEGACY/API"
"app\Filament\Admin\Resources\TitleTransfers\TitleTransferResource.php","unscheduleTransfer","TitleTransferService::class","3","ALREADY SHARED WITH LEGACY/API"
"app\Filament\Admin\Resources\UserNotifications\Pages\ListUserNotifications.php","markAllRead","NotificationAdminService::class","6","ALREADY SHARED WITH LEGACY/API"
"app\Filament\Admin\Resources\UserNotifications\Pages\ListUserNotifications.php","sendPublicNotification","NotificationAdminService::class","6","ALREADY SHARED WITH LEGACY/API"
"app\Filament\Admin\Resources\UserNotifications\Pages\ListUserNotifications.php","sendUserNotification","NotificationAdminService::class","6","ALREADY SHARED WITH LEGACY/API"
"app\Filament\Admin\Resources\UserNotifications\UserNotificationResource.php","markRead","NotificationAdminService::class","6","ALREADY SHARED WITH LEGACY/API"
"app\Filament\Admin\Resources\Users\Pages\CreateUser.php","handleRecordCreation","UserGovernanceService::class","0","THIN WRAPPER"
"app\Filament\Admin\Resources\Users\Pages\EditUser.php","deleteUser","UserGovernanceService::class","0","THIN WRAPPER"
"app\Filament\Admin\Resources\Users\Pages\EditUser.php","handleRecordUpdate","UserGovernanceService::class","0","THIN WRAPPER"
"app\Filament\Admin\Resources\Users\UserResource.php","deleteUser","UserGovernanceService::class","0","THIN WRAPPER"
"app\Filament\Admin\Resources\Users\UserResource.php","restoreUser","UserGovernanceService::class","0","THIN WRAPPER"
"app\Filament\Admin\Resources\WorkflowTasks\Pages\ListWorkflowTasks.php","createTask","WorkflowTaskAdminService::class","2","ALREADY SHARED WITH LEGACY/API"
"app\Filament\Admin\Resources\WorkflowTasks\WorkflowTaskResource.php","markCompleted","WorkflowTaskAdminService::class","2","ALREADY SHARED WITH LEGACY/API"
"app\Filament\Admin\Resources\WorkflowTasks\WorkflowTaskResource.php","markCouldNotComplete","WorkflowTaskAdminService::class","2","ALREADY SHARED WITH LEGACY/API"
"app\Filament\Admin\Resources\WorkflowTasks\WorkflowTaskResource.php","markInProgress","WorkflowTaskAdminService::class","2","ALREADY SHARED WITH LEGACY/API"
